"X" "Y" "Z"
"447" 16.369644 24.206648 34.26965
"448" 15.597441 23.697037 33.005333
"449" 15.485437 23.760738 32.391136
"450" 15.473651 23.537783 32.83934
"451" 15.46186 23.919994 33.442455
"452" 15.550279 24.166834 34.261353
"453" 15.762489 24.119062 34.026207
"454" 15.479545 24.549046 34.919792
"455" 15.520809 24.349976 34.78701
"456" 15.756595 24.19072 34.654213
"457" 15.821439 24.342018 35.622513
"458" 15.632804 24.708302 36.142632
"459" 15.591542 24.692377 35.456516
"460" 15.815543 24.819777 35.926846
"461" 16.316593 25.44087 36.734692
"462" 16.475752 25.90271 37.384827
"463" 16.634909 25.90271 37.163513
"464" 16.393225 26.237141 37.855137
"465" 15.644597 25.488647 36.704243
"466" 15.809647 25.297541 37.072208
"467" 15.373438 25.00292 36.485687
"468" 15.679965 25.488647 37.395893
"469" 15.214281 24.979036 36.593582
"470" 14.866492 24.708302 35.912998
"471" 14.577649 24.087206 35.240734
"472" 15.184806 24.787928 36.637852
"473" 15.114071 24.795893 36.1703
"474" 15.249646 25.194025 36.895149
"475" 14.901864 24.859594 36.408222
"476" 14.565859 23.991659 35.0443
"477" 14.949019 24.437569 36.098354
"478" 14.683757 23.107798 33.921066
"479" 14.642494 23.107798 33.821476
"480" 15.043332 23.649261 34.291794
"481" 15.043332 24.238503 34.892128
"482" 15.343965 24.286278 35.628059
"483" 15.237861 24.286278 35.395653
"484" 15.196596 24.095177 35.282215
"485" 15.184806 24.134989 35.334789
"486" 15.556174 24.429611 35.794044
"487" 15.738913 24.764038 36.36673
"488" 16.069017 25.090511 36.521656
"489" 16.263544 25.178101 37.016872
"490" 16.310701 25.186064 37.097115
"491" 16.316593 25.225876 37.337799
"492" 15.921647 25.146254 37.525917
"493" 15.880389 25.409018 37.6283
"494" 15.621014 24.875519 37.033474
"495" 15.485437 25.066622 37.625515
"496" 15.797853 25.297541 38.065407
"497" 16.440382 26.26103 39.296535
"498" 16.139753 26.069929 39.202477
"499" 16.133856 26.396395 39.91901
